title,description,categories,tags,location,custodian,image
IPA 99.9%,,Uncategorized,BASEMENT_INF,Basement,,images\IPA_99.9%.jpg
Blue Loctite 243,,Uncategorized,BASEMENT_INF,Basement,,images\Blue_Loctite_243.jpg
Super Lube Silicon Oil,,Uncategorized,BASEMENT_INF,Basement,,images\Super_Lube_Silicon_Oil.jpg
Acetone,,Uncategorized,BASEMENT_INF,Basement,,images\Acetone.jpg
WS2812 8x8 LED,,Uncategorized,BASEMENT_SH,Basement,,images\WS2812_8x8_LED.jpg
Powerbank,,Uncategorized,BASEMENT_SH,Basement,,images\Powerbank.jpg
ESP32,,Uncategorized,BASEMENT_SH,Basement,,images\ESP32.jpg
ESP8266,,Uncategorized,BASEMENT_SH,Basement,,images\ESP8266.jpg
MF Header Wires,,Uncategorized,BASEMENT_SH,Basement,,images\MF_Header_Wires.jpg
OV7670 Cameras,,Uncategorized,BASEMENT_SH,Basement,,images\OV7670_Cameras.jpg
9 DoF IMU,,Uncategorized,BASEMENT_SH,Basement,,images\9_DoF_IMU.jpg
775 P16 Hall Sensor,,Uncategorized,BASEMENT_SH,Basement,,images\775_P16_Hall_Sensor.jpg
AS5600 Encoders,,Uncategorized,BASEMENT_SH,Basement,,images\AS5600_Encoders.jpg
Rain Sensor + Relay,,Uncategorized,BASEMENT_SH,Basement,,images\Rain_Sensor_+_Relay.jpg
DRV8825 Drivers,,Uncategorized,BASEMENT_SH,Basement,,images\DRV8825_Drivers.jpg
Arduino Nano,,Uncategorized,BASEMENT_SH,Basement,,images\Arduino_Nano.jpg
Arduino Uno,,Uncategorized,BASEMENT_SH,Basement,,images\Arduino_Uno.jpg
TCRT5000 IR Sensor,,Uncategorized,BASEMENT_SH,Basement,,images\TCRT5000_IR_Sensor.jpg
1.8in TFT SPI 128x160 LCD,,Uncategorized,BASEMENT_SH,Basement,,images\1.8in_TFT_SPI_128x160_LCD.jpg
